timestamp,user,src_ip,dest_computer,logon_type,hour,off_hours,rare_ip,user_ip_frequency,unusual_user_ip,rapid_multi_system,anomaly_score,risk_level
2026-08-25 08:01:16,david,10.10.10.13,APP01,3,8,False,False,77,False,False,0,LOW
2026-08-25 08:04:56,admin,10.10.10.13,APP01,3,8,False,False,65,False,False,0,LOW
2026-08-25 08:12:57,admin,10.10.10.12,DC01,3,8,False,False,74,False,False,0,LOW
2026-08-25 08:19:31,david,10.10.10.10,FILE01,2,8,False,False,75,False,False,0,LOW
2026-08-25 08:20:31,charlie,10.10.10.12,APP01,2,8,False,False,68,False,False,0,LOW
2026-08-25 08:20:50,david,10.10.10.11,WEB01,2,8,False,False,77,False,False,0,LOW
2026-08-25 08:21:52,alice,10.10.10.10,SQL01,3,8,False,False,60,False,False,0,LOW
2026-08-25 08:22:30,david,10.10.10.13,FILE01,3,8,False,False,77,False,False,0,LOW
2026-08-25 08:22:35,admin,10.10.10.13,DC01,2,8,False,False,65,False,False,0,LOW
2026-08-25 08:24:20,david,10.10.10.10,DC01,2,8,False,False,75,False,False,0,LOW
2026-08-25 08:30:46,bob,10.10.10.10,SQL01,10,8,False,False,73,False,False,0,LOW
2026-08-25 08:34:54,bob,10.10.10.12,FILE01,3,8,False,False,74,False,False,0,LOW
2026-08-25 08:35:18,admin,10.10.10.11,WEB01,3,8,False,False,79,False,False,0,LOW
2026-08-25 08:41:20,david,10.10.10.13,SQL01,2,8,False,False,77,False,False,0,LOW
2026-08-25 08:47:03,david,10.10.10.11,FILE01,2,8,False,False,77,False,False,0,LOW
2026-08-25 08:49:25,alice,10.10.10.13,APP01,10,8,False,False,79,False,False,0,LOW
2026-08-25 08:54:55,alice,10.10.10.11,APP01,2,8,False,False,73,False,False,0,LOW
2026-08-25 08:59:23,alice,10.10.10.12,SQL01,3,8,False,False,75,False,False,0,LOW
2026-08-25 09:00:19,david,10.10.10.12,WEB01,3,9,False,False,97,False,False,0,LOW
2026-08-25 09:03:53,david,10.10.10.10,FILE01,3,9,False,False,75,False,False,0,LOW
2026-08-25 09:06:26,alice,10.10.10.12,WEB01,3,9,False,False,75,False,False,0,LOW
2026-08-25 09:06:34,charlie,10.10.10.13,WEB01,3,9,False,False,82,False,False,0,LOW
2026-08-25 09:08:48,admin,10.10.10.13,FILE01,2,9,False,False,65,False,False,0,LOW
2026-08-25 09:10:20,admin,10.10.10.12,APP01,3,9,False,False,74,False,False,0,LOW
2026-08-25 09:13:10,charlie,10.10.10.13,FILE01,3,9,False,False,82,False,False,0,LOW
2026-08-25 09:16:13,alice,10.10.10.10,APP01,2,9,False,False,60,False,False,0,LOW
2026-08-25 09:19:25,admin,10.10.10.11,APP01,3,9,False,False,79,False,False,0,LOW
2026-08-25 09:20:38,alice,10.10.10.13,SQL01,3,9,False,False,79,False,False,0,LOW
2026-08-25 09:20:42,admin,10.10.10.12,WEB01,3,9,False,False,74,False,False,0,LOW
2026-08-25 09:23:02,charlie,10.10.10.11,DC01,10,9,False,False,68,False,False,0,LOW
2026-08-25 09:24:35,admin,10.10.10.12,WEB01,3,9,False,False,74,False,False,0,LOW
2026-08-25 09:26:06,admin,10.10.10.10,DC01,10,9,False,False,73,False,False,0,LOW
2026-08-25 09:29:03,bob,10.10.10.10,WEB01,3,9,False,False,73,False,False,0,LOW
2026-08-25 09:32:19,alice,10.10.10.12,DC01,3,9,False,False,75,False,False,0,LOW
2026-08-25 09:32:42,admin,10.10.10.13,APP01,3,9,False,False,65,False,False,0,LOW
2026-08-25 09:36:41,alice,10.10.10.13,FILE01,3,9,False,False,79,False,False,0,LOW
2026-08-25 09:38:42,alice,10.10.10.10,APP01,3,9,False,False,60,False,False,0,LOW
2026-08-25 09:40:38,charlie,10.10.10.13,SQL01,3,9,False,False,82,False,False,0,LOW
2026-08-25 09:41:49,charlie,10.10.10.10,DC01,10,9,False,False,73,False,False,0,LOW
2026-08-25 09:43:42,charlie,10.10.10.11,DC01,3,9,False,False,68,False,False,0,LOW
2026-08-25 09:49:30,alice,10.10.10.13,DC01,3,9,False,False,79,False,False,0,LOW
2026-08-25 09:50:01,admin,10.10.10.13,FILE01,3,9,False,False,65,False,False,0,LOW
2026-08-25 09:53:05,charlie,10.10.10.11,SQL01,2,9,False,False,68,False,False,0,LOW
